timestamp,sumOpenInterest,sumOpenInterestValue,symbol
1772546400000,77679.52900000,5196659506.71230000,BTCUSDT
1772550000000,77855.68500000,5180389625.91340100,BTCUSDT
1772553600000,78942.34400000,5346644423.51064300,BTCUSDT
1772557200000,79017.31400000,5384026429.21220000,BTCUSDT
1772560800000,78476.61500000,5358752112.29050000,BTCUSDT
1772564400000,78630.33100000,5392979197.13150000,BTCUSDT
1772568000000,78723.51200000,5384386997.83143400,BTCUSDT
1772571600000,78745.67900000,5371455377.92330000,BTCUSDT
1772575200000,78702.61100000,5350187755.25780000,BTCUSDT
1772578800000,78724.63600000,5375467722.88840000,BTCUSDT
1772582400000,79135.72500000,5404964066.26398700,BTCUSDT
1772586000000,79364.49100000,5403190703.98352600,BTCUSDT
1772589600000,80034.87900000,5471616516.78660000,BTCUSDT
1772593200000,80055.32600000,5466489875.05140000,BTCUSDT
1772596800000,79836.02000000,5405905924.90036000,BTCUSDT
